# qw qx qy qz x y z
2.240353787526933385e-02 6.017867544766003496e-01 -2.947303594752441816e-02 7.977982976788227099e-01 -4.589999999999999858e+00 4.590000000000000191e-01 -1.743999999999999995e+00
2.915518455604547698e-01 8.724267396286820020e-01 -1.240161990092776972e-01 3.721412201227538019e-01 -2.228000000000000203e+00 2.909999999999999809e-01 4.580000000000000182e-01
3.070167498860374433e-01 8.786732056448990358e-01 -1.424018262646443433e-01 3.367429774288176469e-01 -2.128000000000000114e+00 2.909999999999999809e-01 4.580000000000000182e-01
3.240576711995502568e-01 8.840463478731088731e-01 -1.607721687495677065e-01 2.959746446986679658e-01 -2.028000000000000025e+00 2.909999999999999809e-01 4.580000000000000182e-01
3.422245493889712886e-01 8.881539550587902454e-01 -1.783207945754678725e-01 2.495327716571872079e-01 -1.927999999999999936e+00 2.909999999999999809e-01 4.580000000000000182e-01
3.607157085028365184e-01 8.906232514292543589e-01 -1.940714441068365215e-01 1.975112053407775681e-01 -1.828000000000000069e+00 2.909999999999999809e-01 4.580000000000000182e-01
7.311630499078540513e-02 5.081682839658074879e-01 -1.221423138208257708e-01 8.494117118866655325e-01 -2.943999999999999950e+00 5.699999999999999512e-01 -1.947000000000000064e+00
-1.181730166990620917e-02 -5.129712115187661237e-01 -1.973580706707265056e-02 8.580975384265027150e-01 3.294000000000000039e+00 4.149999999999999800e-01 -2.189000000000000057e+00
2.342354630189772413e-01 9.006174443779932925e-01 -9.200937901291821042e-02 3.543391608614471777e-01 -2.346999999999999975e+00 4.839999999999999858e-01 -1.880000000000000004e-01
3.755223157693553249e-02 6.264154264200830768e-01 -4.686722090695408238e-02 7.771724435741378390e-01 -5.206999999999999851e+00 3.880000000000000115e-01 -1.683000000000000052e+00
-2.210112760599134904e-02 -4.160288867797945489e-01 -4.827050341226529068e-02 9.078003437009897203e-01 2.265000000000000124e+00 4.410000000000000031e-01 -2.003000000000000114e+00
-1.352603901888158391e-02 -4.435846854394583927e-01 -2.790604851523465629e-02 8.956957773531712963e-01 2.452999999999999847e+00 5.030000000000000027e-01 -2.024999999999999911e+00
5.032155094930377409e-02 8.199275850795695320e-01 3.467008651140807141e-02 -5.691963473503087734e-01 3.248000000000000220e+00 2.989999999999999880e-01 -7.000000000000000146e-03
-9.841119404618122596e-03 6.378487072300759175e-01 1.197884347535516092e-02 7.700056404746513650e-01 -4.983999999999999986e+00 5.610000000000000542e-01 -1.330000000000000071e+00
-2.921990935312222815e-03 8.345107127707173111e-01 1.923836888022954815e-03 5.509806086347427412e-01 -1.822000000000000064e+00 3.439999999999999725e-01 2.089999999999999913e-01
-6.805716440907810978e-03 -3.785002610612755308e-02 -1.797161339574838701e-01 9.829665146600199410e-01 -1.893999999999999906e+00 2.969999999999999862e-01 -2.410000000000000142e+00
4.300112239180778340e-02 8.089861782570187954e-01 -3.106556091991840435e-02 5.854290715252179478e-01 -3.317000000000000171e+00 5.000000000000000000e-01 -1.320000000000000062e+00
-1.363059355946648517e-02 -5.963057871865320991e-02 -2.226421452717830818e-01 9.729793811534103165e-01 -1.909999999999999920e+00 5.629999999999999449e-01 -2.523000000000000131e+00
-4.363099887661480401e-03 -1.162089257519822831e-02 -3.340016761711464555e-01 9.424907418802533909e-01 -1.840999999999999970e+00 5.789999999999999591e-01 -2.037999999999999812e+00
2.584292035231168794e-01 9.382195837739922828e-01 6.088482558035358816e-02 -2.219265585805674235e-01 7.399999999999999634e-02 4.729999999999999760e-01 3.876999999999999780e+00
-6.165547479075358939e-02 -5.234961471113448450e-01 -9.926393446212734839e-02 8.439769296035305457e-01 5.819999999999999618e-01 4.869999999999999885e-01 -3.212000000000000188e+00
2.635298651861694985e-01 8.998202894646653016e-01 9.740891989862951461e-02 -3.337468488942897937e-01 1.499999999999999944e-02 4.949999999999999956e-01 3.883999999999999897e+00
1.125094229294716641e-01 9.822588122820193890e-01 -1.687060553929069576e-02 1.490793014309222120e-01 -5.500000000000000444e-01 4.349999999999999978e-01 3.498000000000000220e+00
2.735249965857742827e-01 9.598428542452960288e-01 1.682463112527985902e-02 -6.002252231032843138e-02 3.083000000000000185e+00 5.779999999999999583e-01 -7.199999999999999456e-02
