# qw qx qy qz x y z 
-0.041346 -0.249478 -0.199417 0.946723 0.205239 0.291880 -0.106093
-0.047025 -0.255278 -0.195938 0.945637 0.183876 0.306310 -0.055949
-0.052006 -0.257352 -0.193395 0.945338 0.173306 0.309320 -0.023307
-0.052458 -0.258108 -0.192386 0.945313 0.168612 0.307051 0.011903
-0.049717 -0.262827 -0.190350 0.944573 0.158635 0.301916 0.049377
-0.044182 -0.269955 -0.190905 0.942723 0.157074 0.287521 0.094891
-0.040709 -0.265743 -0.190757 0.944105 0.146344 0.258645 0.119061
-0.041045 -0.264961 -0.195009 0.943442 0.142466 0.245573 0.159453
-0.044055 -0.261687 -0.201224 0.942915 0.132140 0.246607 0.197652
-0.047521 -0.254513 -0.212376 0.942264 0.130755 0.232692 0.245954
-0.054129 -0.254990 -0.226302 0.938529 0.128766 0.247731 0.287518
-0.054508 -0.253876 -0.227051 0.938628 0.133697 0.237510 0.309540
-0.056608 -0.253036 -0.229617 0.938107 0.134806 0.228961 0.322097
-0.059842 -0.262292 -0.232322 0.934692 0.146331 0.226663 0.344322
-0.060082 -0.272726 -0.231680 0.931845 0.156727 0.228346 0.358706
-0.061980 -0.280654 -0.233512 0.928905 0.170119 0.241523 0.374958
-0.062793 -0.288156 -0.231033 0.927171 0.188933 0.253807 0.393827
-0.061686 -0.295097 -0.219471 0.927871 0.213683 0.267373 0.409261
-0.058736 -0.298964 -0.207280 0.929627 0.238002 0.285430 0.425002
-0.054713 -0.300270 -0.198675 0.931328 0.260765 0.293087 0.435554
-0.049695 -0.305764 -0.185921 0.932455 0.302683 0.303647 0.461889
-0.046479 -0.302106 -0.179734 0.935023 0.315296 0.315959 0.475999
-0.038466 -0.302158 -0.173435 0.936558 0.331765 0.309287 0.492388
-0.034737 -0.304268 -0.173818 0.935950 0.339521 0.315732 0.512188
-0.033284 -0.307432 -0.171446 0.935406 0.345433 0.319534 0.536198
-0.029702 -0.306246 -0.166127 0.936874 0.349137 0.311935 0.554708
-0.029065 -0.307452 -0.164898 0.936716 0.353637 0.305540 0.581517
-0.030601 -0.306803 -0.164512 0.936948 0.354247 0.308174 0.609633
-0.034660 -0.305418 -0.161741 0.937741 0.353265 0.316531 0.645711
